model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_8,0.7,10 Fold-CV,cv_scores,"[-9.14718582e+18 -6.50359679e+20 -3.55222322e+19 -2.21217295e+18
 -1.03914533e+20]"
LinearRegression(),dataset_9,0.7,Non-CV,R2_Score,0.9998646930195644
LinearRegression(),dataset_9,0.7,Non-CV,MSE_Score,2.5643655759566326e-05
LinearRegression(),dataset_9,0.7,Non-CV,MAE_Score,2.5643655797296474e-05
LinearRegression(),dataset_9,0.7,Non-CV,RMSE_Score,0.00506395653215609
LinearRegression(),dataset_9,0.7,Non-CV,RMSLE_Score,-5.285607177874557
LinearRegression(),dataset_9,0.7,10 Fold-CV,Mean_Score,0.9999049114247617
LinearRegression(),dataset_9,0.7,10 Fold-CV,Min_Score,0.9995245571238086
LinearRegression(),dataset_9,0.7,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_9,0.7,10 Fold-CV,cv_scores,[1.         0.99952456 1.         1.         1.        ]
LinearRegression(),dataset_10,0.7,Non-CV,R2_Score,0.004969430844962264
LinearRegression(),dataset_10,0.7,Non-CV,MSE_Score,0.9904751140274521
LinearRegression(),dataset_10,0.7,Non-CV,MAE_Score,0.7703118784441784
LinearRegression(),dataset_10,0.7,Non-CV,RMSE_Score,0.9952261622502958
LinearRegression(),dataset_10,0.7,Non-CV,RMSLE_Score,-0.004785268907974134
LinearRegression(),dataset_10,0.7,10 Fold-CV,Mean_Score,0.006224217341907834
LinearRegression(),dataset_10,0.7,10 Fold-CV,Min_Score,0.004354107887516667
LinearRegression(),dataset_10,0.7,10 Fold-CV,Max_Score,0.008454237777419937
LinearRegression(),dataset_10,0.7,10 Fold-CV,cv_scores,[0.00435411 0.00845424 0.00709323 0.00484478 0.00637474]
LinearRegression(),dataset_11,0.7,Non-CV,R2_Score,-5.9511403782327596e+23
LinearRegression(),dataset_11,0.7,Non-CV,MSE_Score,5.9238948304160495e+23
LinearRegression(),dataset_11,0.7,Non-CV,MAE_Score,37278296330.50051
LinearRegression(),dataset_11,0.7,Non-CV,RMSE_Score,769668424090.2734
LinearRegression(),dataset_11,0.7,Non-CV,RMSLE_Score,27.369225640986976
LinearRegression(),dataset_11,0.7,10 Fold-CV,Mean_Score,-5.1932466755827787e+23
